page,reference,text
11,PDF page 11,"10 
 
 
 
 
 
 
  
 
 
 
  
"
12,PDF page 12,"11 
 
1.5 FUTURE DEDICATED FREIGHT CORRIDOR 
Hon’ble MR has announced in his speech Budget in 2016 to take over the three new 
Dedicated Freight Corridors. These are: -  
1. East –West Corridor (Kolkata – Mumbai) approx. 2328 Km. 
2. North – South Corridor (Delhi – Chennai) approx. 2327Km. 
3. East Coast Corridor (Kharagpur – Vijayawada) approx. 1114 Km 
4. Southern Corridor(Madgaon - Ankola-Rinigunta)approx.893 
Preliminary Engineering cum Traffic Survey of these Dedicated Freight Corridors 
have been done by M/s RITES. These  reports were submitted for approval to 
Railway Board. 
Vide Letter No. 2019/Infra/6/2 dated 15.11.2019 Railway Board conveyed the 
administrative appro val for undertaking and preparing DPR for East -West corridor 
and North-South corridor to DFCCIL. Details are as under:- 
Corridor 
i) East Coast Corridor:                KHARAGPUR –VIJAYWADA-1115 km 
ii) East-West Corridor:  
 
a) Sub Corridor: BHUSAWAL-WARDHA-NAGPUR-RAJKHARSAWAN-  
KHARAGPUR- ULUBERIA-DANKUNI-1673 
 
b) RAJKHARSAWAN-KALIPAHARI-ANDAL-195 
 
(iii) North-South Corridor: 
Sub Corridor VIJAYWADA-NAGPUR-ITARSI-972 km.  
                                                     ******* 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 "
13,PDF page 13,"12 
 
CHAPTER - II 
ASSET   DESIGN   PARAMETERS 
2.0    Introduction 
The Dedicated Freight Corridor (DFC), a Greenfield network meant exclusively for 
freight train operations and having planned interface with the existing IR network, 
provides an excellent opportunity for the adoption of international best practices and 
innovation in terms of technology, systems design, operation & maintenance and 
business processes.  Dedicated Freight Corridor has been designed for 32.5 tonne 
loading standard for Bridges & Formation, Track structure of 25 tonne to start with and 
larger Maximum Moving Dimensions (MMD) as compared to IR. Following are the 
key area of improvement in DFC over Indian Railways.  
2.1 High Axle Load 
The Payload to Tare ratio for exist ing IR Wagons compares very poorly with that of 
wagons of advanced railway systems which have achieved a ratio generally between 
3.5 and 5 even with standard gauge (1435mm) and cape gauge (1067 mm). This is one 
of the major reasons for poor throughput on t he Indian Railways despite a broader 
gauge. The Table No.2.1 illustrates that the Pay load to Tare Ratio shows considerable 
increase with increase in axle load. This is because the tare weight of wagon does not 
go-up in the same proportion as the axle load  and thereby giving significant advantage 
in terms of pay load.  
From the economic perspective, Axle load is a vital parameter for increasing the 
payload in wagons leading to reduction in unit cost of operations and thereby lower 
freight tariff for the customer. From the Railways point of view, higher axle load would 
result in lower capital cost in terms of number of rolling stock and reduced operating 
expenses as compared to normal axle load situation. However, at the same time, it 
increases the sub and super-structure track costs (track, bridges, formation etc.) and also 
increases the track maintenance and related equipment cost. But the advantages of 
heavy haul operation normally outweigh the slight increase in track infrastructure and 
its maintenance.  
The impact on throughput on account of high axle load and Track Loading Density 
(TLD) is illustrated in the Table No.2.1. 
TABLE - 2.1 
(Weight in metric tonnes) 
Wagon 
Type 
Axle 
Load 
TLD in 
T/m 
Tare Payloa
d of 
Wagon 
Payloa
d to 
Tare 
Ratio 
No. of 
wagons 
in a 
rake 
Gross 
Train 
Load 
Payload 
per  
rake 
BOXN 20.32 7.59 22.5 58.8 2.61 58 4714 3410 
BOXN 
with CC + 
9 
22.9 8.55 22.5 69.1 3.07 58 5313 4008 
BOX NS 25.0 9.33 19.9
5 80.15 4.94 59 5900 4728 
Container – 
BCS (A) / 
BCS (B) 
25.0 / 
25.0 
6.89 / 
7.6 
19.1 
/ 
18.0 
80.9 / 
82.0 
4.24 / 
4.56 45 4500 3670 
2.2 Maximum Moving Dimension (MMD):  "
14,PDF page 14,"13 
 
One of the reasons for low productivity in terms of throughput despite broader gauge as 
compared to other countries is due to adoption of restrictive moving dimensions on the 
Indian Railways. For example, the MMD of IR is 26.5% less than that of the MMD 
adopted by AAR.  The full benefit of increase in axle load cannot be realized within the 
IR’s broad gauge primarily based on maximum moving dimensions of 1929 which is 
highly restrictive. The ratio of maximum height from rail level to gauge and ratio of 
maximum width to gauge are 2.45 and 1.90 respectively. Therefore, in order to get the 
maximum benefits, MMD requires revision in respect of both maximum height and 
width. This is required  not only for conventional traffic but for new types of 
commodity-specific wagons such as Ro -Ro traffic, tri -level auto -rack wagons etc, 
which may come up as future requirements after the dedicated freight corridor is 
established.  
2.3    Double-Stack Container Operation 
It has been decided that, in view of container trains forming a major share of freight 
traffic on the western DFC, the system productivity can be enhanced by double stack 
container train operation. Trial runs for double -stack operations on flat type wagons 
under electrified lines have been undertaken by the Indian Railways in collaboration 
with the JICA Team to check the stability of such double stack containers particularly 
on curves and high speed and it has been cleared for a maximum of 75 Kmph.  
Ministry of Railways has mandated that double stack container train operation on the 
western DFC will be on flat type of wagons. The impact of double -stack operation on 
total number of trains on the route has, therefore, been assessed for flat wag on stock 
with 100% increase in throughput per train.  DFC will run long Haul trains with doub le 
stack containers leading to 300 % increase in through put  per train as compared to the 
single-stack operation. On the contrary, Double –stack operation on Well typ e wagons, 
as is the standard practice world over, would have allowed an increase in throughput 
only to the extent of 42% as compared to the single -stack operation. However, it may 
not be practicable to run all container trains as double -stack; the possibil ity can be 
applied to only such pair of O-D points which have regular and sufficient traffic. This is 
so because it may not be practicable to hold back traffic at ports or at ICDs for more 
than a day to form double -stack trains. In the light of these consi derations, container 
trains running between Jawaharlal Nehru / Mundra / Pipavav / Hazira Ports and ICDs in 
NCR of Delhi / Ludhiana alone have been considered suitable for double -stack 
operations.  
2.4 Higher Speed 
The track structure and geometry of the DF C would permit higher speed as compared 
to that of the Indian Railways. The average speed of the freight trains on the existing 
Indian Railways network is about than 25 Kmph. This is so because of the fact that the 
freight trains are given low preference over the Mail/Express/Passenger Trains and they 
are stopped quite often during their run to give precedence to the 
Mail/Express/Passenger Trains coupled with the fact that there are higher degree 
curvature and ruling gradient of the existing infrastructure,  which also imposes speed 
restriction on freight trains. Since the corridor being designed is exclusively for freight 
trains only, there is no question of any train taking precedence over the other and all 
trains are supposed to move in a convoy. The rulin g gradient of the project has been 
kept at 1 in 200 and the maximum degree of curvature will not exceed 2.5 degrees. 
Thus, the corridor is being designed for a maximum permissible speed of 100 Kmph. 
2.5 Deployment of High Horse Power Locomotive 
It is propo sed to deploy high Horse Power locomotive of 9000HP on the Dedicated 
Freight Corridor so as to haul the heavier train at the designed speed of 100 Kmph.  
.CLW/Chitranjan will provide 9000HP electric locomotive to DFCCIL.6000HP WAG -"
15,PDF page 15,"14 
 
9H  locos are also being equipped withTPWS,GSMR&high reach pantographs for use 
incase of any exigency. This is in contrast to the low horse power locomotive, which 
has currently been deployed by the Indian Railways. The maximum horse power 
locomotive on the IR network is 6000 HP in case of electric locomotive and 4000 HP in 
case of diesel locomotive. 
2.6 Modern Signalling and Telecommunication 
The DFC network will have modern signalling system with Automatic Signals at 2 Km 
interspacing, stations would be provided with Electronic I nterlocking and the Mobile 
Train Radio Communication is proposed to be provided for meeting the communication 
needs. The implementation of such modern system will facilitate optimum exploitation 
of the rail infrastructure capacity and would require least maintenance. 
2.7 Railway Maintenance Practices 
Railway  infrastructure maintenance practice in general, and particularly for intensively 
used lines like DFC, is moving away  from  traditional reactive maintenance  to a 
positive “predict and prevent” approac h, using  high -output mechanized techniques as 
far as possible and seeking to  minimize human intervention on the track.  In the case of 
a newly build railway, such as DFC that also extends to design and construction for low 
maintenance. 
The capital invest ment decisions have been based on a trade -off between initial cost 
and optimum life -cycle cost. Taking a far -sighted view, the Ministry of Railways 
(MOR) has adopted superior asset standards compared to the existing IR standards, like 
higher axle load, hig her capacity rolling stock, more efficient locomotives and traction 
systems, advance telecommunication system, etc., that would  ensure longer asset lives, 
require less maintenance, less manpower and, therefore, be more efficient and 
economical. The fundamental design parameters laid down by the ministry for the DFC 
are:  
Fundamental Design Parameters 
Parameter Specifications 
Axle Load   32.5 tonne loading standard for Bridges and Formation. Track 
structure shall be of 25 tonne to start with.  
Traction Electric, 2x25 kv, 50 hz single phase AC 
Maximum Permissible 
Speed 
100 kmph, Average speed 65-70 Kmph. 
Rolling Stock Locomotives: 9000 HP 
Wagons: 25 ton axle load 
Double stack trains Double-stack container train operation on the Western Corridor 
Track 60 kg/m, UIC/90 UTS rails,  
PSC sleepers, 1660 nos./km density.  
Points and Crossings 60 kg rail, 1 in 12  thick web switches  
Ballast  300/ 350 mm cushion 
Ruling Gradient 1 in 200 (compensated) 
Curves Maximum degree of curvature of 2.5  (700m radius) to  ensure 
sustained speed potential of 100kmph; curve compensation @ 
0.04% per degree of curvature. 
Formation Formation width : Double-line – 13.5 m, Single Line – 7.6 m; Side 
slope of embankment to be maintained at 2:1 ; blanket thickness as 
per RDSO GE :0014 specification 
Moving Dimensions Vertical MMD of 7.1 m on Western Corridor and 5.1 m on Eastern 
Corridor 
Track Centres 6.0 m on DFC and  between existing IR tracks and DFC  track, 
min.6.0, Recommended 7.925 m.  "
16,PDF page 16,"15 
 
Parameter Specifications 
Bridges Standard of loading of 32.5 tonne  axle load; 12 tonne/m trailing 
load  
Loop Length  Normal loop length 750m with facilities for running Long haul 
trains through nominated loops of 1500m length at Junction 
Stations. 
Signalling Double Line: Automatic Block, with Multiple Aspect Colour Lig ht 
Signalling (MACLS ) except  Rewari-Dadri which will be with 
Absolute Block System. 
Single line: Absolute Block, with around 10 km station spacing 
and Multiple aspect colour-light signalling.   
Station Spacing 40 km apart on double line and 10 km on single line 
Junction Stations   Western DFC: 17 Junction Stations 
 Eastern DFC: 27  Junction Stations                                                                                                                                                                                                   
  
DFCCIL is committed for delivering the project within least time and cost while 
maintaining the high quality standards envisaged for this unique project. Under the 
Concession Agreement signed with MOR, DFCCIL has been adequately empowered to 
innovate and d eliver by taking its own decisions with regard to detailed design, 
contracting and implementation, within the above -mentioned boundary conditions of 
MOR.  
To achieve the above DFCCIL intends to apply the part of the pr ocess of World Bank 
loan for engaging a consultant for Heavy Haul Railway Transport in India for DFCCIL. 
The objective of appointing a consultant is to recommend strategy and a long term 
implementation plan for Heavy Haul Freight operations that will maxim ize the 
utilization of additional capacity for freight transport and the financial benefits of 
Heavy Haul Business. Also, to develop a comprehensive and integrated long term plan 
up to 2030 which will guide India’s Railway Planners and Service Providers to improve 
the capacity, quality, competitiveness and utilization of India’s Railway Freight 
Transport Services in general and Heavy Haul Services in particular.  
2.8 Outcome 
2.8.1 Much needed Rail Transport Capacity 
The commissioning of 3365 Km of Eastern a nd Western Corridor would provide 
Industry and  rail customers the relief in terms of additional capacity to run more and 
more freight trains, which is more efficient mode of transport as compared to road, 
much more environmental friendly and suitable for bulk transportation. 
2.8.2 Increase in Rail share  
The rail share, which has come down from 80% in the 1950s to less than 30% now, 
would increase and by the year 2021 -22, the rail share is expected to go up from the 
present level to 40-45% in the total transport sector. 
2.8.3 Reduction in O & M Cost 
With the commissioning of the state -of-the-art rail infrastructure for the Dedicated 
Freight Corridor Project and the low cost maintenance regime, it would be possible to 
reduce the Operation and Maintenance Cos t (O & M Cost) drastically to level of 60% 
of the existing Indian Railway cost. This will give substantial benefits in terms of 
savings in cost and help in reducing the unit cost of transportation, which is the ultimate 
objective for creation of DFC infras tructure. It would, then be possible to pass on the 
benefit in terms of lower tariff for the services delivered to the customers.  
 
  "
17,PDF page 17,"16 
 
2.8.4 Bring in additional Value-added services 
Since it would not be a mixed corridor but exclusively for freight trains, it should be 
possible to run time-tabled trains with guaranteed transit time. Last mile connectivity in 
terms of door -to-door services can be provided to the customers by DFCCIL by tying 
up with Truck operators. The DFC network would attract setting up of Multimodal 
Logistics parks along the corridor to facilitate all kinds of value addition from 
packaging, retailing, labelling, pelletizing etc. The commissioning of DFC will open 
new vistas in the rail transport logistics. 
                                                                       ********** 
 
  "
18,PDF page 18,"17 
 
 
CHAPTER – III 
BUSINESS PLAN 
3.0 Introduction 
  A detailed Business Plan for DFCCIL was prepared through consultant taking into 
consideration the Concession agreement and financial arrangement between DFCC IL 
and Ministry of Railways. The Business Plan has been formulated keeping the 
following factors in mind. 
i. The relationship between Indian Railways and DFCCIL will be that of a concessioner 
and concessionaire respectively and will be governed by a Concessio n Agreement 
between the two parties for a period of thirty years commencing from the date of 
operations. 
ii. Indian Railways is the sole owner and, for the present, only customer of DFCCIL. 
iii. DFCCIL has been entrusted with the responsibility of constructing, mai ntaining and 
operating two corridors – Eastern Corridor from Ludhiana to Dankuni and Western 
Corridor from Dadri to Jawaharlal Nehru Port - along with all attendant infrastructures, 
to enable Indian Railways to run freight trains on them. DFCCIL’s role wil l primarily 
be that of the infrastructure provider with responsibility of construction, operation and 
maintenance. 
iv. The DFCCIL will accept freight trains on its system operate them on the DFC and then 
hand them back to Indian Railways and other qualified op erators at the other end. 
DFCCIL will not own any rolling stock. 
v. DFCCIL will receive from Indian Railways a user charge called Track Access Charge 
(TAC) in return for its services. However, since Indian Railways is the single buyer, 
TAC is sought to be fix ed in a manner that all costs of DFCCIL get covered. At the 
same time the structure of TAC will be such so as to incentivize DFCCIL towards 
better performance. 
vi. Project phasing has been assumed based on loan sanctions, fund availability and 
estimated progress of construction during the construction period.  
vii. The project is being financed through loan from External bilateral/multilateral funds 
received via Ministry of Railways and equity contribution from Ministry of Railways. 
Loan from external funding agenci es consist of loans from World Bank and Japanese 
International Co -operation Agency (JICA). These loans received by Ministry of 
Finance in the first instance is extended on back -to back basis to the MoR as General 
Budgetary Support.  
viii. Indian Railways will pr ovide Equity to the extent of shortfall between the Project Cost 
and loan from World Bank & JICA.  
ix. In respect of Equity from Indian Railways, dividend payment will be decided by the 
Board of Directors of DFCCIL from time to time.  
x. Since DFCCIL is a corporation registered under the Companies Act, 2013, depreciation 
has been provided in accordance with Schedule II of the Companies Act. Both 
depreciation and renewals have not been taken on Sonnagar -Dankuni section as it is 
proposed to be awarded on Public Priv ate Partnership (PPP) basis. In calculating the 
financial returns, the cost of Sonnagar-Dankuni section has not been taken.  "
19,PDF page 19,"18 
 
xi. All traffic moving over two or more consecutive junctions on the existing route will be 
assigned to the Dedicated Freight Corridor known as Two Junction Principle.  
xii. Sonnagar-Dankuni section is proposed to be done on Public Private Partnership (PPP) 
basis and TAC does not include payments to be made to the private operator. A 
separate payment mechanism would be worked out for the same for example: sharing 
of freight traffic with Indian Railways.   
3.1 Freight Train projections:  Eastern and Western Corridors 
The total traffic which can move on the Eastern DFC is estimated to grow at CAGR 
of4.5% on EDFC. It is expected that 178054 million NTKM traffic will be available on 
EDFC by 2022 while on the Western DFC it is expected to grow at CAGR 7.7% on 
expected to be 128064 million NTKM in 2022.  
3.1.1 Traffic Flows on Eastern Corridor and Western Corridor 
The DFCCIL has carried out detailed, section-wise, traffic assignment exercise to 
estimate potential traffic expected to move on the DFC routes up to 2021 -22. The 
forecasted number of trains on Eastern and Western DFC corridors in the different 
reference years is presented below. Traffic in b oth up and down direction for all 
reference years in respect of Eastern DFC is given in terms of 25 tonnes axle load 
wagons. On Western DFC containerized traffic has been estimated considering 25t axle 
load wagons and partial double stack container train operations. 
M/s CDM Smith India Private Limited, in their traffic study, projected traffic in terms 
of Million Tonne Per Annum (MTPA) for E-DFC and W-DFC are given as under: -  
Eastern Corridor 
                                                                                                   (In MTPA) 
Commodity 2022 2023 2024 
Container 8.49 9.20 9.98 
Coal 119.50 124.28 128.26 
Food Grains 15.37 15.80 16.26 
Fertilizer 6.10 6.34 6.60 
Cement 12.58 13.56 14.64 
Steel 15.92 17.16 18.53 
POL 4.41 4.50 4.59 
MISC 23.97 24.69 25.43 
Total 206.34 215.53 224.30 
Modal Shift form Road 13.24 13.90 14.60 
AKIC Traffic 0 1.16 1.53 
Grand Total 219.57 230.59 240.42 
 
 "
20,PDF page 20,"19 
 
 
 
Western Corridor 
 (In MTPA) 
Commodity 2022 2023 2024 
Container 64.6 70.5 76.4 
Coal 25.2 26.2 27.0 
Food Grains 9.1 9.3 9.6 
Fertilizer 13.4 13.9 14.5 
Cement 8.5 9.2 9.9 
Steel 2.2 2.3 2.5 
POL 7.3 7.5 7.6 
MISC 7.4 7.7 7.9 
Total 137.7 146.6 155.5 
Modal Shift form Road 15.4 16.2 17.0 
DMIC Traffic 14.0 18.5 19.0 
Grand Total 167.1 181.3 191.5 
3.1.2 Traffic on Eastern Freight Corridor 
The Eastern Freight Corridor originates from Dankuni and via Sonnagar, Mughalsarai, 
Bhaupur and Khurja extends up to Ludhiana consisting of 1861 Kms out of which 
1460Kms is double line and 401 Kms is Single Line.  
The Delhi-Howrah route is heavily loaded with passenger as well as freight services. A 
number of capacity enhancement works including provision of 3rd and 4th lines on 
certain sections, electrification and signalling improvements, etc. have been taken up 
during the recent past. However, on most parts of the route, the growth of traffic has 
exceeded the capacity created. 
3.1.2.1 Commodities moved on the route. 
The commodities that are transported on this route at present, grouped as principal and 
others, are as follows: 
Principal Commodities 
(a) Up direction: 
(i) Coal: On the EDFC, coal constitute the dominant commodity.On this route, 
coal is moved to the Powerhouses, Fertiliser Plants and for Public use to the 
places located in the States of Uttar Pradesh, Haryana and Punjab mainly 
from the various Coal Fields of Coal India Ltd. (CIL) which are situated on 
Eastern Region. These fields are: Eastern  Coalfields Ltd. (ECL),Bharat 
Coking Coal Ltd. (BCCL),Central Coalfields Ltd. (CCL), South East 
Central Coalfields Ltd. (SECL), Northern Coalfields Ltd. (NCL), and North 
Eastern Coalfields Ltd (NECL). 
(ii) Iron & Steel : At present, Iron and steel to the points on the route moves  
from Bo karo, Rourkela, Durgapur, IISCO and Tata Steel and some small 
units on SER and ER via Mughalsarai and from Bhilai and some small units 
on SECR Via New Katni 
  "
21,PDF page 21,"20 
 
(b) Down Direction 
i. Food grains: In the down direction, the major commodity transported by 
rail is food grains which can be transferred to the corridor as it is long 
distance traffic. On Northern Railway, there are 59 stations from which 
food grains are dispatched to the various destinations on Eastern and 
Southern parts of the country and to the Ports, when export is permitted. 
ii. Fertilisers: The major fertilizer plants located on the route or on co nnected 
routes are in Punjab, Haryana, Uttar Pradesh, Madhya Pradesh, 
Gujarat, Orissa and some fertilizers imported through Kolkata and Haldia 
ports. 
iii. Cement: Most of the cement plants in India are located in clusters. Along 
this route, cement produc ed at the cluster of plants in Satna area serves 
destinations on ECR, ER and NER. Cement is also moved from this cluster 
to the points on Kanpur -Ghaziabad section of the NCR and on Saharnapur -
Dhandarikalan section of NR. Cement to this area also moves from  the 
Plants on the North Western and Western Railways.  
iv. Limestone to the Steel Plants : India has limited reserves of steel grade 
limestone (SMS limestone). Limestone from the Jaisalmer/Gotan region of 
Rajasthan and the Katni region of Madhya Pradesh moves on the Delhi -
Howrah route only to Bokaro, Durgapur, IISCO and Tata Steel Plants.  
Other Commodities 
There are other commodities, which move in small quantities. These include 
o Coal to the captive power plants 
o Containers 
o POL traffic 
o Fertilisers in up direction 
o Onions 
o General goods 
3.1.3  Traffic on Western DFC 
Container  traffic  will  form  the  major  portion  of  the  traffic moving  on  WDFC .  
3.1.3.1   Increase in Rail share in Port based Container Traffic:  
Containerized EXIM traffic is and will contin ue to be the principal traffic stream on 
the Western DFC route. In 2007 -08, the level of containerization of general traffic 
was less than 50% and rail share in containers handled at ports in the region was 
about 22%. Since the construction of the Western DFC will not only generate 
immense additional line capacity on IR network, but also reduce transit times, 
increase throughput per train (through long haul double -stack container train 
operation) and enable DFCCIL to offer scheduled freight services between  ports and 
logistics terminals in northern India, the rail share in port -based container traffic is 
expected to increase to 35 -40%. With a higher level of Containerization of general 
traffic, as is the trend the world over, significant growth in domestic c ontainerized 
traffic is expected.  
The recommendation of National Transport Policy Development Committee in the 
“Report on Ports & Shippings -2013” gives projections of container traffic growth 
for all ports with the CAGR 8.1 % in 2015-18 to 8.3 % in 2019-23. 
3.1.3.2   Fertilizer: 
The movement of fertilizers in India is largely from plants located in Gujarat, 
Maharashtra, Uttar Pradesh, Andhra Pradesh, Punjab and Haryana and from various 
ports to consumption centres throughout the country. In so far as the W estern DFC 
route is concerned, major flows of fertilizes traffic emanate from plants in Gujarat "
22,PDF page 22,"21 
 
(IFFCO, Kandla and Khodiyar; KRIBHCO, Hazira; GNFC, Bharuch; and GSFC, 
Vadodara and MotiKhavdi), and Maharashtra (RCF, Trombay and Thal), besides 
imported fertilizers from ports located in the western region. Though supplies from 
these sources are made up to the farthest destinations throughout the country, major 
flows are to the northern states of Punjab, Haryana and Uttar Pradesh.  Due to 
stagnation in fertiliz ers production in the country, imports have registered a sharp 
increase during the recent years. 
3.1.3.3. POL: 
India has to depend upon import of both crude oil and finished products.  Major 
ports in Western India which have facilities for handling import and export of crude 
oil and petroleum projects are Kandla, Mumbai, Mundra, Pipavav and Hazira. On 
WDFC, POL is expected to move in both UP and DN directions.  The principal 
supply points for movement in the down direction are the Hindustan Petroleum and 
Bharat Petroleum Refineries located in Mumbai region, the Bajwa Refinery near 
Vadodara and Essar& Reliance refineries based in Jamnagar area of, Gujarat.    
3.1.3.4. Food Grains: 
Food grains are primarily transported from the states of Punjab, Haryana and UP  in 
the north to the whole country and, at times, to ports for export. On the Western 
DFC, food grains will enter the DFC at Rewari (from Hissar, Delhi and Dadri sides) 
and travel towards the western region, mainly comprising the states of Rajasthan, 
Gujarat and Maharashtra.  Apart from this, certain quantities of food grains will also 
enter the DFC at various junction points like Phulera, Vadodara and Sabarmati. 
3.1.3.5. Modal Shift in Container Traffic from Road to Rail:  
By leveraging transporta tion capacity and other benefits of the DFC, on one hand, 
and induction of multiple agencies into Container train operations on the other, IR 
and DFCCIL will attract a larger share of container traffic, particularly for distances 
beyond 500 km. IR has alre ady opened up the sector to as many as 17 licensed 
operators, whose endeavors will increase Railway’s share in container traffic.   
 Additional container movement by rail on this account has been estimated at 10% 
from 2016-17 onwards, over and above the rai l share indicated in the foregoing 
table.  
 DFCCIL will take the following measures towards increasing its market share in 
container traffic:  
o Expeditiously set up the proposed MMLPs, which will not only augment 
inland handling capacity (the existing facili ties being inadequate for the 
anticipated levels of traffic), but serve as effective staging and destination 
points for EXIM traffic and consolidation points for domestic traffic; and  
o Encourage improvement in functional efficiency at ports and inland term inals 
through greater use of IT and close monitoring of handling operations.  
3.1.3.6.  Creation of New Markets:  
In addition to transporting traditional commodities, the Western DFC also offers 
an opportunity for railways to develop a market in areas wher e its share has 
hitherto been negligible, for example, transportation of Automobiles and Ro -Ro 
traffic. These new market segments have been identified as follows: 
3.1.3.6.1  Growth in Domestic Container Movement: Whilst the use of containers for 
EXIM traff ic is growing rapidly, the level of containerization for domestic 
movement is still minimal. Going forward, with greater industrialization, such as 
the development of the Delhi Mumbai Industrial Corridor (DMIC), domestic 
container movement would also becom e a significant market. The DMIC project "
23,PDF page 23,"22 
 
is expected to have an enormous traffic generation potential, which, in turn, will 
bring additional traffic to the Western DFC over and above the normal growth of 
traffic.  
3.1.3.6.2  Automobile Traffic: Out of the five main automobile clusters in the country, 
NCR based northern cluster and Pune -based western cluster are the most relevant 
to the Western DFC. As most exports from the northern cluster are channelized 
through ports in the western region, and the western and northern regions of India 
also comprise key domestic demand centers, the DFC has a unique opportunity to 
garner this traffic to rail. In case the Railways capture a reasonable share in 
EXIM as well as domestic automobile traffic generated in the catch ment of the 
DFC, it will be a huge revenue generating and highly profitable business 
opportunity. 
3.1.3.6.3  RO-RO:   
RORO  traffic  will  be  an  additional  traffic  on  WDFC  in  sizeable  numbers  
resulting  in  reduced  road  congestion apart  from   avoiding   accidents  on roads  
due  to  considerable  reduction in transit  times. These  can  also   be  exploited  
for  non-bulk traffic  particularly  at  short  lead  to  avoid  cost  of  transhipment  
and  other  costs  in handling   such  non  bulk  traffic. 
3.2  Operation & Maintenance Plan  
3.2.1 Operation& Maintenance Strategy 
The main objective of implementing the DFCCIL through the SPV route is to derive 
cost efficiencies in operation and maintenance of the DFC. DFCCIL aims to achieve 
this through: 
i. Improved systems & processes – consisting of modern maintenance 
philosophies, higher level of mechanization,  
ii. Greater degree of centralized control in operations and greater reliance on 
information technology. This will lead to a leaner organizational structure and 
higher productivity per employee as compared to the current IR set-up;  
iii. Improved asset utilization in respect of locomotives and wagons due to higher 
average speeds (65-70 kmph) on the DFC as compared to the existing IR network 
(about 25 kmph ) and improved payload to tare ratio, complemented by more 
efficient cargo  
iv. Efficient handling at terminals and logistics parks with logistics support; and,  
DFCCIL efforts would be to outsource some of the maintenance activities, 
resulting in reduction in fixed operations and maintenance costs. 
3.2.2 Maintenance: 
Permanent Way including embankment and bridges form a backbone of any Railway 
transportation system.  For efficient operation, it is necessary to not only keep these 
assets in safe and sound condi tion but to also evolve a maintenance system which is 
cost effective and economical on life cycle basis. Standards of construction are 
expected to be higher and most modern technology will be used in constructing the 
DFC.  The maintenance practices will al so depend on the type of track tolerances 
permitted for maintenance.  It is felt that the track tolerances for DFC can be different 
from what exists today on IR as the traffic to be carried is only freight and the attempt 
would be to optimize the cost of m aintenance.  The tolerances laid presently are based 
on passenger comfort criteria.  The track tolerances are to be evolved duly monitoring 
the impact/effect of permitting higher tolerances.  To start with the tolerances as 
existing today on IR could be adopted. Therefore, the maintenance system on DFC will 
be different than what it exists today on IR. "
24,PDF page 24,"23 
 
3.3 Operation& Maintenance (O&M) Expenditure 
O & M expenses have been estimated based on a ‘bottom up’ approach to estimate the 
cost associated with operatio n and maintenance. Costs are derived by estimating the 
manpower and materials required for individual tasks and electric power cost is 
calculated based on the power required to move the estimated traffic. Overheads and 
miscellaneous operating costs are then added to arrive at the estimate of O&M costs. 
 
For traction power it has been assumed that the power consumption will be 7 units per 
1000 GTKM of traffic moved and the cost of power has been taken at `  5.16 per unit. 
The O&M costs have been separately es timated for the Eastern and Western corridors. 
The costs at five yearly interval commencing from the year of operation 2023 to 2028 
are given in Table below: 
O&M Costs 
 (Rs. in crore; as per IL & FS figure) 
2023 2028 Year Ending on March 31 2023 2028 
Eastern DFC 1  Western DFC 
298 479 Material 274 443 
1312 2086 Traction 1437 2409 
346 487 Staff  296 416 
27 36 Miscellaneous Op. Cost 16 21 
98 153 Overheads (5%) 100 163 
2081 3241  Total 2123 3452 
Combined O&M Costs 
 (Rs. in crore; as per IL & FS figure) 
Year Ending on March 31 2023 2028 
 Total O&M Costs  4204 6693 
*The figures are based on IL&FS study done in year 2012. 
3.4 Revenue Projections as per Business Plan 
DFCCIL revenue will consist mostly of Track Access Charges realized from Indian 
Railways. Af ter examining the practices followed by different railways of the world 
where ownership of infrastructure has been separated from the user of the 
infrastructure, it has been decided to adopt a two part tariff for computing the Track 
Access Charges (TAC) payable by Indian Railways to DFCCIL. The two part tariff will 
consist of a fixed component and a variable component. The fixed component will be 
payable irrespective of volume of traffic and the variable component will be payable 
based on volume of traffic in terms of 000 GTKM moved over the system. The 
separation into fixed and variable components of TAC has been done on the basis of 
fixed and variable elements of costs. No statistics exists to separate present Indian 
Railways costs into fixed and variable.  
3.4.1 Proposed Principles for setting up TAC for DFCCIL 
(1) Concession Agreement and Track Access Agreement (CA& TAA) signed 
between Ministry of Railways (MOR) and Dedicated Freight Corridor Corporation of 
India Ltd (DFCCIL) provides for payment of access ch arges by MOR for use of DFC 
infrastructure for transportation of freight trains. To implement the provision of 
Concession agreement regarding TAC, Railway  Board has constituted a committee 
comprising of ED/PP, Advisor  FX, EDF(B) , Railway Board and Direc tor (OP & 
BD)/DFCCIL for developing methodology for establishing Track Access Charges for 
MOR and  its  systems . "
