project_id,query,status
REAL_005,Delhi Metro Phase IV DMRC New Delhi environment forest clearance,followup_search_plan_not_claimed_executed
REAL_005,Delhi Metro Phase IV DMRC New Delhi rainfall terrain flood,followup_search_plan_not_claimed_executed
REAL_005,Delhi Metro Phase IV DMRC New Delhi tender contract progress,followup_search_plan_not_claimed_executed
REAL_006,Chennai Metro Rail Project CMRL Chennai land acquisition,followup_search_plan_not_claimed_executed
REAL_006,Chennai Metro Rail Project CMRL Chennai 3A 3D notification award,followup_search_plan_not_claimed_executed
REAL_006,Chennai Metro Rail Project CMRL Chennai compensation R&R SIA,followup_search_plan_not_claimed_executed
REAL_006,Chennai Metro Rail Project CMRL Chennai legal disputes,followup_search_plan_not_claimed_executed
REAL_006,Chennai Metro Rail Project CMRL Chennai environment forest clearance,followup_search_plan_not_claimed_executed
REAL_006,Chennai Metro Rail Project CMRL Chennai rainfall terrain flood,followup_search_plan_not_claimed_executed
REAL_006,Chennai Metro Rail Project CMRL Chennai tender contract progress,followup_search_plan_not_claimed_executed
REAL_007,Bharatmala Pariyojana NHAI / MoRTH Multi-district land acquisition,followup_search_plan_not_claimed_executed
REAL_007,Bharatmala Pariyojana NHAI / MoRTH Multi-district 3A 3D notification award,followup_search_plan_not_claimed_executed
REAL_007,Bharatmala Pariyojana NHAI / MoRTH Multi-district compensation R&R SIA,followup_search_plan_not_claimed_executed
REAL_007,Bharatmala Pariyojana NHAI / MoRTH Multi-district legal disputes,followup_search_plan_not_claimed_executed
REAL_007,Bharatmala Pariyojana NHAI / MoRTH Multi-district environment forest clearance,followup_search_plan_not_claimed_executed
REAL_007,Bharatmala Pariyojana NHAI / MoRTH Multi-district rainfall terrain flood,followup_search_plan_not_claimed_executed
REAL_007,Bharatmala Pariyojana NHAI / MoRTH Multi-district tender contract progress,followup_search_plan_not_claimed_executed
REAL_008,Zojila Tunnel Project NHIDCL Ganderbal land acquisition,followup_search_plan_not_claimed_executed
REAL_008,Zojila Tunnel Project NHIDCL Ganderbal 3A 3D notification award,followup_search_plan_not_claimed_executed
REAL_008,Zojila Tunnel Project NHIDCL Ganderbal compensation R&R SIA,followup_search_plan_not_claimed_executed
REAL_008,Zojila Tunnel Project NHIDCL Ganderbal legal disputes,followup_search_plan_not_claimed_executed
REAL_008,Zojila Tunnel Project NHIDCL Ganderbal environment forest clearance,followup_search_plan_not_claimed_executed
REAL_008,Zojila Tunnel Project NHIDCL Ganderbal rainfall terrain flood,followup_search_plan_not_claimed_executed
REAL_008,Zojila Tunnel Project NHIDCL Ganderbal tender contract progress,followup_search_plan_not_claimed_executed
REAL_009,Mumbai-Nagpur Expressway MSRDC Nagpur corridor land acquisition,followup_search_plan_not_claimed_executed
REAL_009,Mumbai-Nagpur Expressway MSRDC Nagpur corridor 3A 3D notification award,followup_search_plan_not_claimed_executed
REAL_009,Mumbai-Nagpur Expressway MSRDC Nagpur corridor compensation R&R SIA,followup_search_plan_not_claimed_executed
REAL_009,Mumbai-Nagpur Expressway MSRDC Nagpur corridor legal disputes,followup_search_plan_not_claimed_executed
REAL_009,Mumbai-Nagpur Expressway MSRDC Nagpur corridor environment forest clearance,followup_search_plan_not_claimed_executed
REAL_009,Mumbai-Nagpur Expressway MSRDC Nagpur corridor rainfall terrain flood,followup_search_plan_not_claimed_executed
REAL_009,Mumbai-Nagpur Expressway MSRDC Nagpur corridor tender contract progress,followup_search_plan_not_claimed_executed
REAL_010,Eastern Dedicated Freight Corridor DFCCIL Prayagraj corridor land acquisition,followup_search_plan_not_claimed_executed
REAL_010,Eastern Dedicated Freight Corridor DFCCIL Prayagraj corridor 3A 3D notification award,followup_search_plan_not_claimed_executed
REAL_010,Eastern Dedicated Freight Corridor DFCCIL Prayagraj corridor compensation R&R SIA,followup_search_plan_not_claimed_executed
REAL_010,Eastern Dedicated Freight Corridor DFCCIL Prayagraj corridor legal disputes,followup_search_plan_not_claimed_executed
REAL_010,Eastern Dedicated Freight Corridor DFCCIL Prayagraj corridor environment forest clearance,followup_search_plan_not_claimed_executed
REAL_010,Eastern Dedicated Freight Corridor DFCCIL Prayagraj corridor rainfall terrain flood,followup_search_plan_not_claimed_executed
REAL_010,Eastern Dedicated Freight Corridor DFCCIL Prayagraj corridor tender contract progress,followup_search_plan_not_claimed_executed
