source_id,source_sha256,page,table,row,column,value_original,reference,verification_status
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,1,1,,PDF page 1; detected table 1; row 1; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,3,8,1269.8,PDF page 1; detected table 1; row 3; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,3,9,0%,PDF page 1; detected table 1; row 3; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,3,10,N,PDF page 1; detected table 1; row 3; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,4,1,1,PDF page 1; detected table 1; row 4; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,4,2,NICOBAR,PDF page 1; detected table 1; row 4; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,4,3,4.2,PDF page 1; detected table 1; row 4; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,4,4,9.8,PDF page 1; detected table 1; row 4; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,4,5,-57%,PDF page 1; detected table 1; row 4; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,4,6,D,PDF page 1; detected table 1; row 4; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,4,7,482,PDF page 1; detected table 1; row 4; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,4,8,830.7,PDF page 1; detected table 1; row 4; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,4,9,-42%,PDF page 1; detected table 1; row 4; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,4,10,D,PDF page 1; detected table 1; row 4; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,5,1,2,PDF page 1; detected table 1; row 5; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,5,2,NORTH & MIDDLE ANDAMAN,PDF page 1; detected table 1; row 5; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,5,3,11.3,PDF page 1; detected table 1; row 5; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,5,4,15.5,PDF page 1; detected table 1; row 5; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,5,5,-27%,PDF page 1; detected table 1; row 5; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,5,6,D,PDF page 1; detected table 1; row 5; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,5,7,1952.8,PDF page 1; detected table 1; row 5; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,5,8,1516.3,PDF page 1; detected table 1; row 5; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,5,9,29%,PDF page 1; detected table 1; row 5; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,5,10,E,PDF page 1; detected table 1; row 5; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,6,1,3,PDF page 1; detected table 1; row 6; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,6,2,SOUTH ANDAMAN,PDF page 1; detected table 1; row 6; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,6,3,7,PDF page 1; detected table 1; row 6; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,6,4,12.5,PDF page 1; detected table 1; row 6; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,6,5,-44%,PDF page 1; detected table 1; row 6; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,6,6,D,PDF page 1; detected table 1; row 6; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,6,7,1026.1,PDF page 1; detected table 1; row 6; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,6,8,1272.1,PDF page 1; detected table 1; row 6; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,6,9,-19%,PDF page 1; detected table 1; row 6; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,6,10,N,PDF page 1; detected table 1; row 6; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,7,1,,PDF page 1; detected table 1; row 7; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,7,2,ARUNACHAL PRADESH,PDF page 1; detected table 1; row 7; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,7,3,6.2,PDF page 1; detected table 1; row 7; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,7,4,11.7,PDF page 1; detected table 1; row 7; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,7,5,-47%,PDF page 1; detected table 1; row 7; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,7,6,D,PDF page 1; detected table 1; row 7; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,7,7,829,PDF page 1; detected table 1; row 7; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,7,8,1383,PDF page 1; detected table 1; row 7; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,7,9,-40%,PDF page 1; detected table 1; row 7; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,7,10,D,PDF page 1; detected table 1; row 7; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,8,1,1,PDF page 1; detected table 1; row 8; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,8,2,ANJAW,PDF page 1; detected table 1; row 8; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,8,3,0,PDF page 1; detected table 1; row 8; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,8,4,9.5,PDF page 1; detected table 1; row 8; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,8,5,-100%,PDF page 1; detected table 1; row 8; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,8,6,NR,PDF page 1; detected table 1; row 8; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,8,7,165.8,PDF page 1; detected table 1; row 8; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,8,8,1365.5,PDF page 1; detected table 1; row 8; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,8,9,-88%,PDF page 1; detected table 1; row 8; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,8,10,LD,PDF page 1; detected table 1; row 8; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,9,1,2,PDF page 1; detected table 1; row 9; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,9,2,CHANGLANG,PDF page 1; detected table 1; row 9; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,9,3,26.5,PDF page 1; detected table 1; row 9; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,9,4,13.2,PDF page 1; detected table 1; row 9; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,9,5,100%,PDF page 1; detected table 1; row 9; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,9,6,LE,PDF page 1; detected table 1; row 9; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,9,7,993.6,PDF page 1; detected table 1; row 9; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,9,8,1138.8,PDF page 1; detected table 1; row 9; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,9,9,-13%,PDF page 1; detected table 1; row 9; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,9,10,N,PDF page 1; detected table 1; row 9; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,10,1,3,PDF page 1; detected table 1; row 10; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,10,2,DIBANG VALLEY,PDF page 1; detected table 1; row 10; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,10,3,,PDF page 1; detected table 1; row 10; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,10,4,4.6,PDF page 1; detected table 1; row 10; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,10,5,,PDF page 1; detected table 1; row 10; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,10,6,ND,PDF page 1; detected table 1; row 10; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,10,7,,PDF page 1; detected table 1; row 10; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,10,8,934.1,PDF page 1; detected table 1; row 10; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,10,9,,PDF page 1; detected table 1; row 10; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,10,10,ND,PDF page 1; detected table 1; row 10; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,11,1,4,PDF page 1; detected table 1; row 11; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,11,2,EAST KAMENG,PDF page 1; detected table 1; row 11; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,11,3,0,PDF page 1; detected table 1; row 11; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,11,4,9.7,PDF page 1; detected table 1; row 11; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,11,5,-100%,PDF page 1; detected table 1; row 11; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,11,6,NR,PDF page 1; detected table 1; row 11; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,11,7,1201.6,PDF page 1; detected table 1; row 11; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,11,8,1011.9,PDF page 1; detected table 1; row 11; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,11,9,19%,PDF page 1; detected table 1; row 11; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,11,10,N,PDF page 1; detected table 1; row 11; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,12,1,5,PDF page 1; detected table 1; row 12; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,12,2,EAST SIANG,PDF page 1; detected table 1; row 12; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,12,3,10.9,PDF page 1; detected table 1; row 12; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,12,4,26.7,PDF page 1; detected table 1; row 12; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,12,5,-59%,PDF page 1; detected table 1; row 12; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,12,6,D,PDF page 1; detected table 1; row 12; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,12,7,1927.7,PDF page 1; detected table 1; row 12; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,12,8,2687.6,PDF page 1; detected table 1; row 12; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,12,9,-28%,PDF page 1; detected table 1; row 12; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,12,10,D,PDF page 1; detected table 1; row 12; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,13,1,6,PDF page 1; detected table 1; row 13; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,13,2,KURUNG KUMEY,PDF page 1; detected table 1; row 13; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,13,3,0.3,PDF page 1; detected table 1; row 13; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,13,4,8.6,PDF page 1; detected table 1; row 13; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,13,5,-97%,PDF page 1; detected table 1; row 13; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,13,6,LD,PDF page 1; detected table 1; row 13; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,13,7,523.9,PDF page 1; detected table 1; row 13; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,13,8,944.3,PDF page 1; detected table 1; row 13; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,13,9,-45%,PDF page 1; detected table 1; row 13; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,13,10,D,PDF page 1; detected table 1; row 13; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,14,1,7,PDF page 1; detected table 1; row 14; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,14,2,LOHIT,PDF page 1; detected table 1; row 14; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,14,3,41.8,PDF page 1; detected table 1; row 14; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,14,4,8.9,PDF page 1; detected table 1; row 14; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,14,5,370%,PDF page 1; detected table 1; row 14; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,14,6,LE,PDF page 1; detected table 1; row 14; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,14,7,850.1,PDF page 1; detected table 1; row 14; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,14,8,1310.9,PDF page 1; detected table 1; row 14; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,14,9,-35%,PDF page 1; detected table 1; row 14; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,14,10,D,PDF page 1; detected table 1; row 14; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,15,1,8,PDF page 1; detected table 1; row 15; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,15,2,LOWER DIBANG VALLEY,PDF page 1; detected table 1; row 15; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,15,3,,PDF page 1; detected table 1; row 15; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,15,4,11.5,PDF page 1; detected table 1; row 15; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,15,5,,PDF page 1; detected table 1; row 15; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,15,6,ND,PDF page 1; detected table 1; row 15; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,15,7,,PDF page 1; detected table 1; row 15; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,15,8,1939.7,PDF page 1; detected table 1; row 15; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,15,9,,PDF page 1; detected table 1; row 15; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,15,10,ND,PDF page 1; detected table 1; row 15; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,16,1,9,PDF page 1; detected table 1; row 16; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,16,2,LOWER SUBANSIRI,PDF page 1; detected table 1; row 16; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,16,3,0,PDF page 1; detected table 1; row 16; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,16,4,4.2,PDF page 1; detected table 1; row 16; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,16,5,-100%,PDF page 1; detected table 1; row 16; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,16,6,NR,PDF page 1; detected table 1; row 16; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,16,7,393.2,PDF page 1; detected table 1; row 16; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,16,8,634.9,PDF page 1; detected table 1; row 16; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,16,9,-38%,PDF page 1; detected table 1; row 16; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,16,10,D,PDF page 1; detected table 1; row 16; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,17,1,10,PDF page 1; detected table 1; row 17; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,17,2,PAPUMPARA,PDF page 1; detected table 1; row 17; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,17,3,11.4,PDF page 1; detected table 1; row 17; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,17,4,15.4,PDF page 1; detected table 1; row 17; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,17,5,-26%,PDF page 1; detected table 1; row 17; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,17,6,D,PDF page 1; detected table 1; row 17; column 6,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,17,7,1514.2,PDF page 1; detected table 1; row 17; column 7,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,17,8,1823.8,PDF page 1; detected table 1; row 17; column 8,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,17,9,-17%,PDF page 1; detected table 1; row 17; column 9,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,17,10,N,PDF page 1; detected table 1; row 17; column 10,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,18,1,11,PDF page 1; detected table 1; row 18; column 1,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,18,2,TAWANG,PDF page 1; detected table 1; row 18; column 2,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,18,3,0.6,PDF page 1; detected table 1; row 18; column 3,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,18,4,5.6,PDF page 1; detected table 1; row 18; column 4,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,18,5,-89%,PDF page 1; detected table 1; row 18; column 5,review_required
S037,819aabe522da9ac6253512517c03d0feae10f23e7d2b699f723a7841c1c7feb2,1,1,18,6,LD,PDF page 1; detected table 1; row 18; column 6,review_required
